DATE;TIME;CODE;PAPER NO.;SUBJECT;MOA;DURATION
31/05/2021;08:00  -  11:15;8621;1;CHINESE LANGUAGE;WRITTEN;03:00
31/05/2021;08:00  -  11:15;8622;1;MALAY LANGUAGE;WRITTEN;03:00
31/05/2021;08:00  -  11:15;8623;1;TAMIL LANGUAGE;WRITTEN;03:00
31/05/2021;08:00  -  11:15;8655;1;CHINESE LANGUAGE;WRITTEN;03:00
31/05/2021;08:00  -  11:15;8656;1;MALAY LANGUAGE;WRITTEN;03:00
31/05/2021;08:00  -  11:15;8657;1;TAMIL LANGUAGE;WRITTEN;03:00
01/06/2021;08:00  -  08:50;8611;1;CHINESE B;WRITTEN;00:50
01/06/2021;08:00  -  08:50;8613;1;MALAY B;WRITTEN;00:50
01/06/2021;08:00  -  08:50;8614;1;TAMIL B;WRITTEN;00:50
01/06/2021;09:35  -  10:35;8611;2;CHINESE B;WRITTEN;01:00
01/06/2021;09:35  -  10:35;8613;2;MALAY B;WRITTEN;01:00
01/06/2021;09:35  -  10:35;8614;2;TAMIL B;WRITTEN;01:00
06/07/2021;14:30  -  15:30;8613;3;MALAY B;LC;00:30
06/07/2021;14:30  -  15:30;8614;3;TAMIL B;LC;00:30
06/07/2021;14:30  -  15:30;8621;2;CHINESE LANGUAGE;LC;00:30
06/07/2021;14:30  -  15:30;8655;2;CHINESE LANGUAGE;LC;00:30
06/07/2021;16:30  -  17:30;8611;3;CHINESE B;LC;00:30
06/07/2021;16:30  -  17:30;8622;2;MALAY LANGUAGE;LC;00:30
06/07/2021;16:30  -  17:30;8623;2;TAMIL LANGUAGE;LC;00:30
06/07/2021;16:30  -  17:30;8656;2;MALAY LANGUAGE;LC;00:30
06/07/2021;16:30  -  17:30;8657;2;TAMIL LANGUAGE;LC;00:30
07/07/2021;14:30;8611;3;CHINESE B;ORAL;00:15
07/07/2021;14:30;8613;3;MALAY B;ORAL;00:15
07/07/2021;14:30;8614;3;TAMIL B;ORAL;00:15
08/07/2021;14:30;8621;2;CHINESE LANGUAGE;ORAL;00:15
08/07/2021;14:30;8622;2;MALAY LANGUAGE;ORAL;00:15
08/07/2021;14:30;8623;2;TAMIL LANGUAGE;ORAL;00:15
08/07/2021;14:30;8655;2;CHINESE LANGUAGE;ORAL;00:15
to ;14:30;8656;2;MALAY LANGUAGE;ORAL;00:15
21/07/2021;14:30;8657;2;TAMIL LANGUAGE;ORAL;00:15
12/07/2021 to 16/07/2021;08:00;9519;3;THEATRE STUDIES & DRAMA;PRACTICAL;00:00
06/10/2021;08:00  -  11:00;9569;2;COMPUTING;PRACTICAL;03:00
06/10/2021 to 08/10/2021;08:00;9753;21;MUSIC;PRACTICAL;00:25
06/10/2021;14:30;8611;3;CHINESE B;ORAL;00:15
06/10/2021;14:30;8613;3;MALAY B;ORAL;00:15
06/10/2021;14:30;8614;3;TAMIL B;ORAL;00:15
11/10/2021;14:30  -  16:00;8187;3;ARABIC;WRITTEN;01:30
12/10/2021 to 14/10/2021;14:30;8831;1;FRENCH;ORAL;00:15
12/10/2021 to 14/10/2021;14:30;8833;1;GERMAN;ORAL;00:15
12/10/2021 to 14/10/2021;14:30;8835;1;JAPANESE;ORAL;00:15
12/10/2021 to 14/10/2021;14:30;9578;1;SPANISH;ORAL;00:20
12/10/2021 to 14/10/2021;14:30;9735;1;FRENCH;ORAL;00:20
12/10/2021 to 14/10/2021;14:30;9736;1;GERMAN;ORAL;00:20
12/10/2021 to 14/10/2021;14:30;9737;1;JAPANESE;ORAL;00:20
13/10/2021;08:00  -  09:30;9578;3;SPANISH;WRITTEN;01:30
13/10/2021;08:00  -  09:30;9735;3;FRENCH;WRITTEN;01:30
13/10/2021;08:00  -  09:30;9736;3;GERMAN;WRITTEN;01:30
13/10/2021;08:00  -  10:45;8831;2;FRENCH;WRITTEN;02:45
13/10/2021;08:00  -  10:45;8833;2;GERMAN;WRITTEN;02:45
14/10/2021;14:30  -  16:15;8187;2;ARABIC;WRITTEN;01:45
15/10/2021;08:00  -  09:45;9578;2;SPANISH;WRITTEN;01:45
15/10/2021;08:00  -  09:45;9735;2;FRENCH;WRITTEN;01:45
15/10/2021;08:00  -  09:45;9736;2;GERMAN;WRITTEN;01:45
15/10/2021;08:00  -  09:45;9737;2;JAPANESE;WRITTEN;01:45
15/10/2021;08:00  -  10:45;8835;2;JAPANESE;WRITTEN;02:45
18/10/2021;08:00  -  09:15;8831;3;FRENCH;LC;00:45
18/10/2021;08:00  -  09:15;8833;3;GERMAN;LC;00:45
18/10/2021;08:00  -  09:15;8835;3;JAPANESE;LC;00:45
18/10/2021;08:00  -  09:30;9737;3;JAPANESE;WRITTEN;01:30
19/10/2021;08:00  -  09:45;9578;5;SPANISH;LC;01:15
19/10/2021;08:00  -  09:45;9735;5;FRENCH;LC;01:15
19/10/2021;08:00  -  09:45;9736;5;GERMAN;LC;01:15
19/10/2021;08:00  -  09:45;9737;5;JAPANESE;LC;01:15
20/10/2021;08:00  -  17:30;9729;4;CHEMISTRY;SCIENCE PRACTICAL;02:30
25/10/2021;08:00  -  17:30;9749;4;PHYSICS;SCIENCE PRACTICAL;02:30
28/10/2021;08:00  -  17:30;9744;4;BIOLOGY;SCIENCE PRACTICAL;02:30
01/11/2021;08:00  -  10:55;8642;1;GENERAL STUDIES IN CHINESE;WRITTEN;02:40
01/11/2021;08:00  -  11:15;8621;1;CHINESE LANGUAGE;WRITTEN;03:00
01/11/2021;08:00  -  11:15;8622;1;MALAY LANGUAGE;WRITTEN;03:00
01/11/2021;08:00  -  11:15;8623;1;TAMIL LANGUAGE;WRITTEN;03:00
01/11/2021;08:00  -  11:15;8655;1;CHINESE LANGUAGE;WRITTEN;03:00
